ClientID,Recency,Frequency,Monetary,cluster,SegmentRFM,ActionRecommandee
CLT00063,54,4,18456.415,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00064,163,3,47868.8,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00065,454,6,8983.04,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00066,164,5,17568.484,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00067,506,8,27651.927,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00068,598,2,8076.91,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00069,131,4,91046.019,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00070,268,8,53642.293,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00071,158,8,313832.283,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00072,7,4,38142.72,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00073,185,6,101402.56,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00074,8,3,39347.92,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00075,727,2,26424.241,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00076,75,6,14797.788999999999,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00077,332,4,40807.2,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00078,416,4,37726.36,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00079,493,4,74617.95,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00080,161,3,48561.307,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00081,18,4,96228.74,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00082,106,6,64944.25,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00083,213,4,31683.11,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00084,34,6,16293.792,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00085,711,3,25827.129999999997,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00086,698,2,4944.28,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00087,907,3,70688.22,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00088,171,3,12577.525,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00089,525,4,25770.082000000002,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00090,322,3,19007.524,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00091,13,6,31274.96,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00092,292,5,12995.2,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00093,208,5,10651.075,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00094,170,8,67792.492,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00095,877,2,9668.279999999999,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00096,405,4,7530.5599999999995,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00097,886,7,13051.695,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00098,389,4,8850.448,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00099,160,4,86460.856,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00100,656,3,5209.923,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00101,739,3,125016.9,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00102,46,7,29550.456,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00103,263,6,13190.582,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00104,88,7,14004.562,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00105,352,5,127562.087,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00106,730,6,39084.320999999996,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00107,100,3,28299.0,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00108,80,10,48647.464,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00109,911,5,17253.98,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00110,100,6,17597.846999999998,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00111,476,4,9798.11,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00112,81,11,35897.811,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00113,222,4,58712.5,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00114,245,2,5495.7,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00115,482,3,14527.662,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00116,16,5,23451.991,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00117,110,4,30066.383,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00118,228,8,37518.048,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00119,789,6,107982.776,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00120,179,4,91509.65000000001,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00121,56,6,29388.167,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00122,257,3,12919.56,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00123,704,4,8066.502,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00124,119,11,107938.715,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00125,263,7,240285.412,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00126,273,5,18925.944,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00127,424,6,29535.592,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00128,368,5,105563.674,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00129,109,10,53888.1,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00130,81,6,56365.368,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00131,12,7,82370.35800000001,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00132,542,4,9659.98,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00133,204,8,36969.433000000005,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00134,439,4,63648.98,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00135,678,1,16527.511,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00136,553,5,7302.45,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00137,62,5,35546.95,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00138,306,6,36287.21,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00139,73,4,79074.622,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00140,121,7,49615.808000000005,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00141,453,3,62991.401,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00142,12,3,43138.365000000005,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00143,515,5,42974.732,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00144,311,3,60021.03999999999,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00145,375,3,14056.053,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00146,84,7,46325.563,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00147,350,4,124245.92,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00148,479,5,94674.976,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00149,412,6,24088.96,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00150,401,2,10566.504,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00151,60,4,133665.0,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00152,271,3,83239.102,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00153,385,7,353268.56,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00154,404,3,58611.719,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00155,12,6,275947.646,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00156,652,4,81274.8,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00157,11,10,24669.04,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00158,23,9,33269.525,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00159,364,9,35100.535,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00160,214,1,29646.88,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00162,117,6,46517.57,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00163,29,8,191598.669,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00164,132,4,61566.157,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00165,300,2,16424.620000000003,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00166,63,8,78794.01699999999,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00167,403,6,48384.4,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00168,505,6,29952.474000000002,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00169,178,4,17448.838,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00170,31,11,37095.57,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00171,125,6,22281.835,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00172,27,2,12003.36,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00173,311,3,13488.48,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00174,108,5,178216.54,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00175,674,3,24850.8,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00176,130,5,7774.639999999999,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00177,362,4,21637.799,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00178,129,5,10671.426,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00179,1038,2,17653.114999999998,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00180,248,2,6128.799999999999,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00181,187,6,48467.625,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00182,211,5,45088.024,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00183,168,7,73774.27,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00184,80,4,22752.48,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00185,45,5,46230.12,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00186,87,7,76488.178,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00187,60,5,7350.871999999999,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00188,113,8,36677.476,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00189,366,5,26617.92,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00190,328,1,13292.24,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00191,154,9,14724.858,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00192,160,4,121709.55500000001,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00193,96,6,37065.17,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00194,593,3,29765.760000000002,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00195,32,10,35376.866,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00196,128,8,262125.33000000002,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00197,144,7,12123.992,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00198,22,3,32880.12,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00199,855,5,22328.79,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00200,738,1,4682.45,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00201,140,4,6640.45,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00202,135,8,39135.568,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00203,165,7,194337.2,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00204,262,4,95504.64,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00205,118,4,20605.789,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00206,291,4,19047.819,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00207,146,6,113736.62,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00208,310,1,4138.68,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00209,128,7,22772.793,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00210,48,3,7574.879999999999,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00211,448,3,18950.95,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00212,910,1,12436.32,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00213,312,3,111231.68,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00214,150,7,27711.214,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00215,492,1,3440.931,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00216,807,5,13119.3,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00217,400,8,36157.57,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00218,44,5,19165.12,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00219,92,4,173225.50199999998,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00220,410,3,7255.21,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00221,20,6,139626.648,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00222,137,6,105623.1,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00223,75,8,47247.127,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00224,65,8,168738.962,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00225,180,2,17326.114999999998,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00226,68,5,5047.912,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00227,1041,2,12786.673,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00228,579,6,22198.218,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00229,353,5,15530.5,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00230,378,2,8806.0,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00231,144,6,30688.38,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00232,224,7,128507.774,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00233,131,6,127832.402,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00234,27,3,62977.2,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00236,380,4,40571.64,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00237,315,4,43227.393,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00238,116,6,12017.867,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00239,201,9,53912.865000000005,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00240,318,7,38804.988,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00241,451,8,104669.55,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00242,415,6,122573.736,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00243,51,6,7337.749,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00244,50,6,32161.291,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00245,104,5,25423.199999999997,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00246,468,3,12439.294,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00247,117,3,3924.53,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00248,407,5,48199.06,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00249,158,12,64223.388,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00250,516,4,22256.5,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00251,125,5,50300.109,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00252,10,6,81413.841,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00253,192,7,330853.43200000003,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00254,360,8,72936.40599999999,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00255,589,3,10945.61,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00256,913,2,20562.19,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00257,281,2,9866.728,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00258,504,5,52815.59,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00260,798,5,117005.985,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00261,208,5,13156.858,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00262,175,3,17066.92,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00263,563,2,14434.02,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00264,10,11,17062.246,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00265,59,6,15188.74,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00266,230,6,47211.57,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00267,127,6,122276.257,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00268,432,1,12378.277,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00269,96,6,97283.166,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00270,128,7,22472.813000000002,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00271,37,5,48309.542,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00272,92,8,18512.847,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00273,406,3,24183.36,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00274,132,10,33271.555,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00275,512,2,6831.96,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00276,403,3,37596.895000000004,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00277,208,8,25716.159,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00278,131,6,46996.41,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00279,53,6,55488.794,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00280,69,5,219489.92,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00281,312,6,91501.76000000001,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00282,107,1,1818.0,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00283,4,5,24419.119,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00284,404,5,157199.297,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00285,98,7,33686.57,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00286,182,11,50938.082,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00287,71,3,4320.768,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00288,236,3,46869.628000000004,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00289,211,5,89558.56,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00290,494,5,8535.969000000001,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00291,56,11,93114.62,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00292,468,6,57626.25,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00293,531,3,17270.0,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00294,42,4,90340.542,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00295,68,3,11180.08,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00296,67,7,56794.857,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00297,302,5,48896.12,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00298,293,3,15100.166,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00299,97,8,68934.485,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00300,701,2,9484.675,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00301,21,2,42033.142,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00302,132,9,108700.0,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00303,217,9,182083.875,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00304,27,7,22014.216,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00305,173,5,46335.74,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00306,177,4,26174.879999999997,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00307,125,3,21342.6,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00309,31,5,31883.088,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00310,47,8,46648.95,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00311,344,5,28031.555,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00312,179,9,52607.725,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00313,498,4,21701.3,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00314,46,6,7617.532,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00315,34,8,214984.272,1,Réguliers,"Loyalty offers, bonus points, upselling"
CLT00316,280,6,20085.818,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00317,60,5,25115.28,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
CLT00318,502,4,19935.612,3,Perdus,"Reactivation campaign, special win-back offer"
CLT00319,239,10,26680.06,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00320,324,6,6848.188,2,Champions,"VIP program, exclusive rewards, cross-selling"
CLT00321,5,5,39915.18,0,À Surveiller,"Light follow-up, personalized offer, satisfaction survey"
